Atom,Code,Name,PositionInTS
#include,44,#include <iostream>,-
int,5,int,-
main,8,main,-
(,2,(,-
),3,),-
{,10,{,-
struct,8,struct,-
ID,0,circle,0
{,10,{,-
float,6,float,-
ID,0,r,1
;,27,;,-
},11,},-
ID,0,c,2
;,27,;,-
struct,8,struct,-
ID,0,circle,3
ID,0,b,4
;,27,;,-
float,6,float,-
ID,0,pi,5
;,27,;,-
ID,0,pi23,6
=,12,=,-
CONST,1,3.14,7
-,14,-,-
CONST,1,23,8
;,27,;,-
cin,33,cin,-
>>,39,>>,-
ID,0,c,9
ID,0,r,10
;,27,;,-
cout,34,cout,-
<<,38,<<,-
CONST,1,2,11
*,15,*,-
ID,0,pi,12
*,15,*,-
ID,0,c,13
ID,0,r,14
;,27,;,-
cout,34,cout,-
<<,38,<<,-
ID,0,pi,15
*,15,*,-
ID,0,c,16
ID,0,r,17
*,15,*,-
ID,0,c,18
ID,0,r,19
;,27,;,-
},11,},-
