Atom,Code,Name,PositionInTS
#include,44,#include <iostream>,-
int,5,int,-
main,8,main,-
(,2,(,-
),3,),-
{,10,{,-
struct,8,struct,-
ID,0,circle,5
{,10,{,-
float,6,float,-
ID,0,r,8
;,27,;,-
},11,},-
ID,0,c,4
;,27,;,-
struct,8,struct,-
ID,0,circle,5
ID,0,b,3
;,27,;,-
float,6,float,-
ID,0,pi,6
;,27,;,-
ID,0,pi23,7
=,12,=,-
CONST,1,3.14,2
-,14,-,-
CONST,1,23,1
;,27,;,-
cin,33,cin,-
>>,39,>>,-
ID,0,c,4
ID,0,r,8
;,27,;,-
cout,34,cout,-
<<,38,<<,-
CONST,1,2,0
*,15,*,-
ID,0,pi,6
*,15,*,-
ID,0,c,4
ID,0,r,8
;,27,;,-
cout,34,cout,-
<<,38,<<,-
ID,0,pi,6
*,15,*,-
ID,0,c,4
ID,0,r,8
*,15,*,-
ID,0,c,4
ID,0,r,8
;,27,;,-
},11,},-
