Atom,Code,Name,PositionInTS
#include,44,#include,-
<iostream>,45,<iostream>,-
int,5,int,-
main,8,main,-
(,2,(,-
),3,),-
{,10,{,-
struct,8,struct,-
ID,0,circle,6
{,10,{,-
float,6,float,-
ID,0,r,9
;,27,;,-
},11,},-
ID,0,c,4
;,27,;,-
struct,8,struct,-
ID,0,circle,6
ID,0,b,3
;,27,;,-
float,6,float,-
ID,0,pi,7
;,27,;,-
ID,0,pi_23,8
=,12,=,-
CONST_FLOAT,-1,3.14,2
-,14,-,-
CONST_INT,-1,23,0
;,27,;,-
cin,33,cin,-
>>,39,>>,-
ID,0,c.r,5
;,27,;,-
cout,34,cout,-
<<,38,<<,-
CONST_INT,-1,3,1
*,15,*,-
ID,0,pi,7
*,15,*,-
ID,0,c.r,5
;,27,;,-
cout,34,cout,-
<<,38,<<,-
ID,0,pi,7
*,15,*,-
ID,0,c.r,5
*,15,*,-
ID,0,c.r,5
;,27,;,-
},11,},-
